Module,Priority,Condition,Recipients,Title,Short text (dynamic),Actions,Short text,Description (success)
Inventory,,User enables email low inventory alert,Admin,Email Inventory Alert Enabled,Email alerts enabled for low inventory items,View Settings,Email alert enabled,Email inventory alert configured successfully
Inventory,,User enables SMS low inventory alert,Admin,SMS Inventory Alert Enabled,SMS alerts enabled for low inventory items,View Settings,SMS alert enabled,SMS inventory alert configured successfully
Inventory,,User sends inventory report through email,Admin,Inventory Report Sent,Inventory report sent to {emailAddress},View Report,Inventory report sent,Inventory report email sent successfully
Inventory,P0,User saves stock adjustment changes,Admin,Stock Adjusted Successfully,Stock updated for {inventoryName},View Inventory,Stock adjusted,Stock adjusted successfully
Inventory,,User opens damage goods page,Admin,Damaged Goods Reported,Damaged stock recorded for {inventoryName},View Inventory,Damaged goods updated,Damaged inventory recorded successfully
Inventory,P0,User assigns equipment to employee,AdminEmployee,Equipment Assigned,Equipment {equipmentName} assigned to {employeeName},View Equipment,Equipment assigned,Equipment assigned successfully
Inventory,,User unassigns equipment from employee,AdminEmployee,Equipment Unassigned,Equipment {equipmentName} unassigned from {employeeName},View Equipment,Equipment unassigned,Equipment unassigned successfully
Reports,,User exports report data,Admin,Report Exported,{reportType} report exported successfully,Download Report,Report exported,Report exported successfully
Settings,P0,User changes password successfully,AdminEmployee,Password Changed Successfully,Password updated successfully for {employeeName},Login Again,Password changed,Password changed successfully
Settings,,User updates role permissions,Admin,Permissions Updated,Permissions updated for role {roleName},View Permissions,Permissions updated,Role permissions updated successfully
Settings,,User updates business policies,Admin,Business Policies Updated,Business policies updated successfully,View Policies,Business policies updated,Business policies saved successfully
Settings,P0,User configures card reader successfully,Admin,Card Reader Configured,Card reader configured successfully,Test Reader,Card reader configured,Card reader setup completed successfully
